Trial,Step_500,Step_1000,Step_1500,Step_2000,Step_2500,Step_3000,Step_3500,Step_4000,Step_4500,Step_5000,Step_5500,Step_6000,Step_6500,Step_7000,Step_7500,Step_8000,Step_8500,Step_9000,Step_9500,Step_10000
1,-21.81849998022543,18.283770249887503,-35.4837148673321,-59.47989605813626,-5.720363404445256,-22.34798912773369,-13.316496420887644,-53.391555580024075,-20.86968389086759,11.688254757472835,-15.757416160085409,-65.40178074351257,-38.36714891173157,3.222331937190931,-52.5008578080754,-10.619600204291393,-16.697747335825564,-8.603157871754384,-54.0287543892624,-27.92263754167158
2,-51.24458085383592,-53.50737880398964,10.961199748959647,9.426601404258916,-0.8197605442399223,37.31006938808844,-30.07559256267079,-44.1091832569437,-25.56575053319255,-48.44331429825342,42.853811320200364,-27.069242988292377,44.10014757004095,43.8299410591839,29.822429665914463,22.833107780324887,15.385886388102339,20.306000766271843,56.676429200806666,76.77540947312085
3,-42.42472251720239,-2.9827558048894387,-39.872384712968596,-36.046183081943184,-32.64945082149814,-31.494569930726232,-32.0060036591628,9.417239380670436,-21.16989350581386,-56.10435671822536,1.2130001924587646,-24.216637281534783,-9.316384771374867,-68.27087593186285,-83.49218506027077,-80.36567018439848,-44.33898710738452,13.506354730272822,15.646661882051442,-16.646729789159643
4,15.520867481349061,23.404119935098297,35.90258345618587,-4.611185102569112,-10.500204961689306,-13.937237617329549,-16.06490754333875,-34.86479079814589,-38.27630622843339,-57.822118395076515,-47.41414029000062,14.550495888493147,-18.986166293448612,-26.53605824357364,-8.053747992429305,-20.68324140887816,-60.454012523809936,-50.042339773279224,-48.69325611301366,-30.272451014047842
5,5.112629251097202,26.97341031925345,6.425651713765933,37.89253618477177,32.47351072021734,35.20639618480355,24.12295928691276,11.836190260232657,17.13276119761931,6.4665802939993835,5.5122060930212955,4.082864269319586,-7.84770277358283,22.69481080824018,40.1081383360674,81.96116636020075,68.84230889137042,74.14410337411745,70.38151446710967,30.278183769401895
6,6.532564244200742,-28.169975798699898,0.38280090801085864,4.057669697754832,2.0750665123660497,-6.446303301279061,-34.2854822019878,-29.522359911488696,-43.89874685490986,-33.67987049790225,-27.369731870508033,-30.726092991527423,-54.842896028812824,-54.78023414459452,-34.090457545792646,-65.64878225356348,-9.241886939473584,-7.843046911127201,-14.266848961449117,-7.258397592721472
7,-77.11140067380116,-63.76357604353825,-39.9639108934945,-34.136100205157014,-99.59859663556652,-43.587153531254835,-90.88578088525134,-66.6568001392809,-22.995011531445265,15.755696511813309,33.988954095168445,46.234343763406706,-3.6512103909784814,-39.67812918127201,-47.72040500955906,-24.4251706821758,-27.917001519342232,-20.809460834075278,-44.46143464753453,-59.83161580155597
8,37.50638727931298,26.390838263627884,35.17047379436163,23.85784275733887,10.588194366524165,46.90676312906288,30.32464102590967,35.39117439615491,16.330471634663496,23.9183105204078,78.18273665505114,47.24543780788528,72.92852745032951,29.991678506425153,56.60269825170176,54.40999332439811,66.9510599917485,8.629705415979947,33.23083889505619,72.62278299117874
9,33.179186417870575,71.13654466609832,104.20982372450848,46.823799816673095,98.79050923535864,37.960561464204844,38.14476117262517,5.6682073925736685,6.641601553518074,3.732052764122089,68.98331218188348,39.557315645163804,-22.763535149795032,92.33615503799375,40.35418877844367,18.5310736329954,31.477575732515906,28.319984227209236,11.2165092504579,48.54533718884423
10,10.792045371288042,12.79961868577131,-8.767634269784105,16.02635732337791,-16.448129864406596,-0.6711146107361344,31.125504361204488,24.389197149186177,6.033950785468131,-3.0526366056214256,-8.89910387110918,-5.732634211419723,-11.57705977826531,-34.140032065731404,-35.49581837251809,62.37306593621828,73.99690338394547,-24.37570672459586,12.54698457094826,-7.925004811742137

OVERALL MEAN,-8.39555239799463,3.0564615668619535,6.896488860221312,0.3811442736369819,-2.1809225397379546,3.889942204710022,-9.291639742664703,-14.184268110706542,-12.66366073733935,-13.754140166726355,13.129362834608026,-0.14759308420183564,-5.032342907761906,-3.1330412218000507,-9.446601675651797,3.836594230083011,9.800409896184679,3.3232436399019347,3.824864415517041,7.8364876871647065
