Trial,Mean Rock Displacement (px),Stop Time (Steps)
1,121.56300459604479,118
2,121.69573240867336,119
3,109.82679690377411,117
4,122.61132690296867,119
5,127.34544827194387,120
6,121.64568041121144,119
7,113.33409890691692,118
8,109.99870438948562,120
9,120.15414219650306,120
10,109.47058618550406,118
11,125.791350846857,120
12,97.29636578973174,120
13,102.23507960124934,119
14,127.06933009933934,120
15,129.97049662833786,119
16,103.5960185367821,117
17,99.13117268061463,118
18,114.08878471486851,118
19,118.73970701664511,119
20,127.39985401049258,120
21,145.08789741252986,120
22,139.57958500136698,120
23,110.03382924964403,117
24,110.53435331176502,119
25,121.28691357295197,118
26,105.5726406648718,117
27,97.84825384315093,118
28,107.82429713991523,118
29,122.609233828782,119
30,105.12980399269745,117
31,108.87252284096606,117
32,127.42187051382265,119
33,119.7930217770523,118
34,126.88939080621299,121
35,123.4590388601559,119
36,121.77480885975649,119
37,125.92374064353177,119
38,131.98855961782118,120
39,101.35074984607374,118
40,124.50177616950302,119
41,90.28193763043664,117
42,129.28698484965784,120
43,121.84900033265043,117
44,143.05035928056566,120
45,100.92266372913325,118
46,128.06737417140712,119
47,122.93526079348923,119
48,135.71721118050007,119
49,128.58092674674498,120
50,115.46849212646912,119
51,109.59721588120536,119
52,108.27015543468981,119
53,114.4024995061914,119
54,121.7373444098328,118
55,118.44607176803352,120
56,113.65302113453568,119
57,123.09589127419879,118
58,110.10908602722216,118
59,114.15600485868754,119
60,120.26301869625979,118
61,122.20692629173205,120
62,118.57132170608648,119
63,149.53141770869715,121
64,105.46389254658861,119
65,122.59398788650424,119
66,126.24974898772673,118
67,134.5876232079192,119
68,111.15465640802344,119
69,100.39177386874402,117
70,131.95262452856886,120
71,113.47890602429997,118
72,127.58219111435236,120
73,113.83578119217984,119
74,131.52999381548196,119
75,109.61022704569163,118
76,136.43898583500066,120
77,103.82590086060145,119
78,132.96373896066655,120
79,124.68342909550802,119
80,108.82795825263051,119
81,91.53946845839371,116
82,115.31018302761211,119
83,125.68852581426874,119
84,132.4255007076009,121
85,98.41172490023988,118
86,110.10736942810604,118
87,141.60881457916696,119
88,99.04540307925436,119
89,123.94550093888151,121
90,109.55627838692787,119
91,130.0012343786736,120
92,129.96630378967032,121
93,120.69106323781234,119
94,111.62189229087082,120
95,107.39103929254536,119
96,108.25502544383373,118
97,121.83254079025815,119
98,98.96880658680672,117
99,104.15842020362092,118
100,127.68302601337152,118

Overall Mean Displacement,118.04025695567346
Overall Mean Stop Time,118.85
