Trials with Mean Rock Displacement <= 0,None

Total Trials,100
Avg Sim Duration (s),31.67
Mean Rock Displacement (px),42.42
Mean of Intra-Run Bot Stop SDs (s),8.42
SD of Pooled Bot Stop Times (s),12.84
Mean of Intra-Run Rock Dist SDs (px),52.03
SD of Pooled Rock Displacements (px),59.28

Trial,Duration,Mean Rock Displacement,Bot Stop SD,Rock Displacement SD
1,34.88,66.57,6.35,43.87
2,77.45,110.46,13.5,99.46
3,24.93,56.01,6.46,41.56
4,18.03,13.94,3.92,27.01
5,63.25,90.25,13.54,102.54
6,23.7,16.95,6.1,38.05
7,15.55,27.26,3.46,34.36
8,22.98,21.44,5.76,29.42
9,73.37,60.38,18.4,46.72
10,52.95,34.2,18.25,29.21
11,29.83,17.05,7.04,35.27
12,16.95,9.52,4.78,22.88
13,21.78,19.17,8.4,28.67
14,16.93,31.76,5.05,45.95
15,24.93,41.66,7.58,54.03
16,30.45,42.19,9.64,51.93
17,18.42,38.27,6.09,34.21
18,36.68,29.53,8.31,62.5
19,22.77,44.5,5.51,38.89
20,10.7,23.83,2.2,33.89
21,60.95,50.67,17.94,62.87
22,41.13,53.31,9.84,74.58
23,78.78,46.59,22.92,54.21
24,35.58,16.99,12.25,30.37
25,36.3,43.88,10.77,77.35
26,12.0,25.48,2.64,29.5
27,24.27,59.53,6.14,97.93
28,36.28,123.83,6.7,100.32
29,26.35,40.42,7.49,44.16
30,19.12,14.58,4.81,43.01
31,38.78,67.66,11.25,80.91
32,24.48,31.66,7.51,40.2
33,25.8,40.23,6.36,62.16
34,30.17,15.22,9.87,27.0
35,25.55,52.19,5.07,58.96
36,33.4,33.26,9.66,47.72
37,22.3,36.28,5.19,40.13
38,20.32,18.08,7.68,35.21
39,37.08,53.57,12.66,82.56
40,23.6,71.83,6.79,74.82
41,23.68,39.45,5.56,46.88
42,26.37,31.99,6.86,45.17
43,15.07,21.62,4.48,45.27
44,33.67,19.6,9.38,38.25
45,29.73,26.51,9.71,56.75
46,46.6,55.13,14.12,81.13
47,32.5,23.39,9.95,27.42
48,24.7,43.69,5.9,55.05
49,33.43,48.45,6.96,63.27
50,48.58,87.37,12.88,106.38
51,26.28,61.94,8.79,74.93
52,48.92,27.68,15.08,48.67
53,12.48,18.04,3.27,20.41
54,11.58,25.11,3.03,31.1
55,45.57,38.07,14.91,60.86
56,28.02,53.62,7.26,64.25
57,23.0,54.0,6.89,64.64
58,44.48,38.79,13.42,39.48
59,32.15,47.29,10.07,67.25
60,17.75,30.06,4.3,39.16
61,25.43,34.65,6.1,61.15
62,47.42,84.95,10.91,77.99
63,31.43,29.82,10.26,46.32
64,21.17,38.57,5.71,48.62
65,26.22,43.29,7.83,61.39
66,32.27,31.16,5.86,38.43
67,11.28,25.68,3.36,36.12
68,27.23,43.83,5.9,63.96
69,23.27,54.28,6.49,53.69
70,56.85,57.68,17.34,58.56
71,85.27,102.44,19.04,112.01
72,14.88,19.05,3.38,41.56
73,11.65,16.96,3.0,33.91
74,59.6,51.77,16.88,61.01
75,41.5,38.94,14.09,43.51
76,15.9,30.81,3.81,47.2
77,30.6,21.99,9.28,22.31
78,44.65,58.79,12.46,73.84
79,19.25,22.27,4.78,42.04
80,44.07,49.61,9.17,55.39
81,29.57,47.97,10.15,48.17
82,22.7,25.99,5.38,28.22
83,16.87,9.88,4.13,26.67
84,42.85,66.38,7.59,71.51
85,15.27,12.82,2.78,28.81
86,33.2,51.71,8.32,74.8
87,28.22,76.31,4.86,77.12
88,21.27,30.16,6.75,47.85
89,15.42,29.75,3.35,43.56
90,52.05,94.68,11.07,70.64
91,36.02,29.88,8.62,34.64
92,35.53,11.11,6.69,27.82
93,26.27,87.12,6.86,70.09
94,50.45,52.28,16.68,42.64
95,34.57,25.24,11.68,39.82
96,29.45,63.73,7.19,53.48
97,28.48,35.79,7.54,42.82
98,21.68,44.61,6.06,52.27
99,49.53,91.82,9.9,76.24
100,14.3,16.64,4.05,26.38
